[DEBUG] 2018-10-16 22:02:18.259 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2018-10-16 22:02:18.266 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2018-10-16 22:02:18.286 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2018-10-16 22:02:18.502 [main] Version - HHH000412: Hibernate Core {5.2.12.Final}
[INFO ] 2018-10-16 22:02:18.508 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2018-10-16 22:02:18.603 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2018-10-16 22:02:18.611 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2018-10-16 22:02:18.640 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2018-10-16 22:02:19.659 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2018-10-16 22:02:19.757 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2018-10-16 22:02:19.786 [main] Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
[DEBUG] 2018-10-16 22:02:19.865 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6950ed69
[DEBUG] 2018-10-16 22:02:19.865 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6950ed69
[DEBUG] 2018-10-16 22:02:19.865 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6950ed69
[DEBUG] 2018-10-16 22:02:19.866 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@189cbd7c
[DEBUG] 2018-10-16 22:02:19.868 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@6aa8e115
[DEBUG] 2018-10-16 22:02:19.868 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@5f20155b
[DEBUG] 2018-10-16 22:02:19.873 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1df8b5b8
[DEBUG] 2018-10-16 22:02:19.873 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1df8b5b8
[DEBUG] 2018-10-16 22:02:19.874 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@1df8b5b8
[DEBUG] 2018-10-16 22:02:19.888 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@4d6025c5
[DEBUG] 2018-10-16 22:02:19.889 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@4d6025c5
[DEBUG] 2018-10-16 22:02:19.889 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@4d6025c5
[DEBUG] 2018-10-16 22:02:19.897 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@4f4c4b1a
[DEBUG] 2018-10-16 22:02:19.897 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@4f4c4b1a
[DEBUG] 2018-10-16 22:02:19.897 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@4f4c4b1a
[DEBUG] 2018-10-16 22:02:19.898 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@4fa1c212
[DEBUG] 2018-10-16 22:02:19.899 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@4fa1c212
[DEBUG] 2018-10-16 22:02:19.899 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@4fa1c212
[DEBUG] 2018-10-16 22:02:19.904 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@2e32ccc5
[DEBUG] 2018-10-16 22:02:19.904 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@2e32ccc5
[DEBUG] 2018-10-16 22:02:19.904 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@2e32ccc5
[DEBUG] 2018-10-16 22:02:19.914 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7a3793c7
[DEBUG] 2018-10-16 22:02:19.916 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7a3793c7
[DEBUG] 2018-10-16 22:02:19.916 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@7a3793c7
[DEBUG] 2018-10-16 22:02:19.920 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@1cd629b3
[DEBUG] 2018-10-16 22:02:19.922 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@1cd629b3
[DEBUG] 2018-10-16 22:02:19.922 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@1cd629b3
[DEBUG] 2018-10-16 22:02:19.930 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@14a50707
[DEBUG] 2018-10-16 22:02:19.930 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@14a50707
[DEBUG] 2018-10-16 22:02:19.934 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@7354b8c5
[DEBUG] 2018-10-16 22:02:19.934 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@7354b8c5
[DEBUG] 2018-10-16 22:02:19.938 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@59e2d8e3
[DEBUG] 2018-10-16 22:02:19.938 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@59e2d8e3
[DEBUG] 2018-10-16 22:02:19.939 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@2fba3fc4
[DEBUG] 2018-10-16 22:02:19.945 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@1c852c0f
[DEBUG] 2018-10-16 22:02:19.946 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@24c4ddae
[DEBUG] 2018-10-16 22:02:19.946 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@24c4ddae
[DEBUG] 2018-10-16 22:02:19.951 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@6a57ae10
[DEBUG] 2018-10-16 22:02:19.952 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@6a57ae10
[DEBUG] 2018-10-16 22:02:20.027 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@27508c5d
[DEBUG] 2018-10-16 22:02:20.031 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@27508c5d
[DEBUG] 2018-10-16 22:02:20.034 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@704deff2
[DEBUG] 2018-10-16 22:02:20.034 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@704deff2
[DEBUG] 2018-10-16 22:02:20.039 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@a307a8c
[DEBUG] 2018-10-16 22:02:20.039 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@a307a8c
[DEBUG] 2018-10-16 22:02:20.059 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@389c4eb1
[DEBUG] 2018-10-16 22:02:20.059 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@389c4eb1
[DEBUG] 2018-10-16 22:02:20.068 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@127a7a2e
[DEBUG] 2018-10-16 22:02:20.068 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@127a7a2e
[DEBUG] 2018-10-16 22:02:20.075 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@6d7fc27
[DEBUG] 2018-10-16 22:02:20.075 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@6d7fc27
[DEBUG] 2018-10-16 22:02:20.086 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@7cb502c
[DEBUG] 2018-10-16 22:02:20.100 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@7cb502c
[DEBUG] 2018-10-16 22:02:20.103 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@1ef6d34c
[DEBUG] 2018-10-16 22:02:20.115 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@1ef6d34c
[DEBUG] 2018-10-16 22:02:20.118 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@2a225dd7
[DEBUG] 2018-10-16 22:02:20.119 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@2a225dd7
[DEBUG] 2018-10-16 22:02:20.120 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@616ac46a
[DEBUG] 2018-10-16 22:02:20.125 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@616ac46a
[DEBUG] 2018-10-16 22:02:20.126 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@616ac46a
[DEBUG] 2018-10-16 22:02:20.131 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@7ef27d7f
[DEBUG] 2018-10-16 22:02:20.134 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@1d483de4
[DEBUG] 2018-10-16 22:02:20.136 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@1d483de4
